Date,Day,City,State,Venue,With
2022-10-29,Sat,Portland,ME,Sun Tiki Studios,"Rick Rude, Kal Marks"
2022-10-28,Fri,Portsmouth,NH,Drift Art House,"Rick Rude, Plant Fight, Grub Lord"
2022-10-27,Thu,Hadley,MA,Asbestos Farm,"Rick Rude, Fred Cracklin, Scorpion Porch"
2022-10-26,Wed,Winooski,VT,Monkey House,"Rick Rude, Wren Kitz, Noah Burton"
2022-10-25,Tue,Keene,NH,Nova Arts,"Rick Rude, All Feels, Jentri Jollimore"
2022-10-24,Mon,Worcester,MA,Distant Castle,"Rick Rude, Big Mess"
2022-10-23,Sun,Cambridge,MA,State Park,"Rick Rude, Mulva"
2022-10-22,Sat,East Haven,CT,The Beeracks,"Rick Rude, Jobber, Glambat, Them Airs"
2022-08-13,Sat,Queens,NY,TV Eye,"Kal Marks, Raisalka, Rip Room"
2022-06-23,Thu,Philadelphia,PA,Ortlieb's,"Psychic Flowers, Mulva, Factual Brains"
2022-04-23,Sat,Manhattan,NY,Mercury Lounge,"Baglady, Nine of Swords"
2020-03-11,Wed,Philadelphia,PA,Ortlieb's,"Bethlehem Steel, Screamcloud, Grocer"
2020-02-23,Sun,Philadelphia,PA,Khyber Pass Pub,"Proper Nouns, Spring Onion"
2020-02-01,Sat,Queens,NY,Trans Pecos,"Human People, Thanks For Coming"
2020-01-17,Fri,Philadelphia,PA,Traitor Joe's,"Bluish, Swim Camp, Julian"
2019-11-23,Sat,Brooklyn,NY,Chili's,"Fits, Water From Your Eyes, Debbie"
2019-08-07,Wed,Brooklyn,NY,Alphaville,"Washer, FCKR JR, Winded, Hellrazor"
2019-07-20,Sat,Brooklyn,NY,Alphaville,"Resounding No, Greed Island, Patio"
2019-07-19,Fri,Jersey City,NJ,House,"Resounding No, Spowder"
2019-07-18,Thu,Baltimore,MD,Joe Squared,"Muscle, File Select, Dosser"
2019-07-17,Wed,Chapel Hill,NC,The Cave,"Black Surfer, Sonic Afternoon"
2019-07-16,Tue,Knoxville,TN,The Pilot Light,"Tired Frontier, Gag Me, Rat Punch"
2019-07-15,Mon,Nashville,TN,Drkmttr,"Philary, Courtyard"
2019-07-14,Sun,St. Louis,MO,Blank Space,"Crumbie, Inches From Glory"
2019-07-13,Sat,Omaha,NE,O'Leaver's Pub,"Hussies, The Natural States"
2019-07-12,Fri,Minneapolis,MN,Palmer's Bar,"Double Grave, Sass"
2019-07-11,Thu,Milwaukee,WI,Quarters,"Haunter, Lifetime Achievement Award, Cream Vellum"
2019-07-10,Wed,Chicago,IL,The Owl,"FCKR JR, Stuck"
2019-07-09,Tue,Kalamazoo,MI,Viridian Forest,"Langley, Suck City, Cam The Cryptoid"
2019-07-08,Mon,Detroit,MI,Trumbullplex,"Petty Theft, Lily Livers, and Macho"
2019-07-07,Sun,Columbus,OH,Dirty Dungarees,"Ruinr, Into The Briar Patch"
2019-07-06,Sat,Pittsburgh,PA,Howler's,"The Zells, Swither, Rave Ami"
2019-06-12,Wed,Philadelphia,PA,Everybody Hits,"Truth Club, So Totally, Spin Off"
2019-06-11,Tue,Queens,NY,Trans Pecos,"Truth Club, Peaer, Oceanator"
2019-05-17,Fri,Queens,NY,The Footlight,"Knot, Blessed, Snakeskin"
2019-05-09,Thu,Albany,NY,College Of St. Rose,"Peaer, The Age, Pink Nois, Lemon Of Choice"
2019-04-30,Tue,Ewing,NJ,College Of New Jersey,"Bethlehem Steel, Well Wisher, Will Away"
2019-04-27,Sat,Philadelphia,PA,Everybody Hits,"Halfsour, Anna Altman, Cult Objects"
2019-04-26,Fri,Brooklyn,NY,The Glove,"Real Blood, Jury Duty, Beau Dega"
2019-04-06,Sat,Allston,MA,Teacher's Lounge,"Squitch, Banana, Blue Ray"
2019-04-05,Fri,New Haven,CT,Never Get To Be Cool,"Hellrazor, Glambat, Cardinal Spins"
2019-03-18,Mon,Brooklyn,NY,Alphaville,"Glued, Dead Tenants"
2019-03-03,Sun,Philadelphia,PA,Super Wimpy HQ,"Squitch, Bleary Eyed, Boon, Dancers"
2019-03-02,Sat,Brooklyn,NY,Chili's,"Squitch, Bleary Eyed, No One And The Somebodies, Human People"
2019-01-18,Fri,Manhattan,NY,Bowery Ballroom,"Big Ups, Guerilla Toss, Bethlehem Steel"
2019-01-04,Fri,Philadelphia,PA,Everybody Hits,"Big Ups, Tact, The Glow"
2018-12-09,Sun,Brooklyn,NY,The Glove,"Bethlehem Steel, Mess, Giant Peach"
2018-11-10,Sat,Rollinsford,NH,Sue's,"Rick Rude, High Pony, Notches, Skimmed Milk"
2018-11-08,Thu,Allston,MA,O'Brien's Pub,"Rick Rude, Big Mess, Half Sour"
2018-11-07,Wed,New Paltz,NY,Crazy Dan's Second Hand Hardcore And More,"Rick Rude, It's Not Night: It's Space, Pink Candy"
2018-11-06,Tue,New Brunswick,NJ,In The West,"Rick Rude, Secretary Legs, Resounding No"
2018-11-05,Mon,Washington,DC,The Dougout,"Rick Rude, BRNDA, Mister Goblin"
2018-11-04,Sun,Richmond,VA,Cafe Astrologie,"Rick Rude, Yeehaw Junction"
2018-11-03,Sat,Baltimore,MD,The Crown,"Rick Rude, Purrer, File Select"
2018-11-02,Fri,Philadelphia,PA,Cafe Blamp,"Rick Rude, Lester, Missing Earth"
2018-11-01,Thu,Brooklyn,NY,Rubalad,"Rick Rude, Human People, Matthew Danger Lipman"
2018-10-11,Thu,Philadelphia,PA,Super Wimpy HQ,"Sour Spirit, Great Weights"
2018-07-27,Fri,Rollinsford,NH,Sue's,"Bethlehem Steel, Kiss Concert, Rick Rude"
2018-07-26,Thu,Providence,RI,Psychic Readings,"Bethlehem Steel, Trace Mountains, Snowplows"
2018-07-17,Tue,Manhattan,NY,Mercury Lounge,"Dumb, Fern Mayo"
2018-05-19,Sat,Brooklyn,NY,Heebie Jeebies,"Bethlehem Steel, Bueno, Big Eater"
2018-05-04,Fri,Brooklyn,NY,Van Buren,"Doubting Thomas Cruise Control, Hot Knives, Jury Duty"
2018-03-22,Thu,Queens,NY,The Footlight,"Bethlehem Steel, Yazan, Fits"
2018-03-20,Tue,Buffalo,NY,Birdhaus,"Bethlehem Steel, Yazan, Slowcooker, Gun Candy"
2018-03-18,Sun,Fayetteville,AK,Backspace,"Bethlehem Steel, Yazan, Maneka, Stove, Number Stations, The Phlegms"
2018-03-17,Sat,Austin,TX,Barracuda,"Do512 Showcase: Speedy Ortiz, Vundabar, Ron Gallo, more"
2018-03-16,Fri,Austin,TX,The Velveeta Room,Exploding In Sound Official Showcase
2018-03-15,Thu,Austin,TX,Hole In The Wall,Post Trash Day Party
2018-03-15,Thu,Austin,TX,Fine Southern Gentlemen,Simpatico / Very Jazzed / No Vibe
2018-03-13,Tue,Austin,TX,Beerland,Exploding In Sound Showcase
2018-03-12,Mon,Dallas,TX,Armoury D.E.,SX Foreplay Fest
2018-03-11,Sun,New Orleans,LA,Hey Cafe,"Bethlehem Steel, Yazan, Sweater Creep, Shame, Habitat"
2018-03-10,Sat,Hattiesburg,MS,Thirsty Hippo,"Bethlehem Steel, Yazan"
2018-03-09,Fri,Jacksonville,FL,The Shantytown Pub,"Bethlehem Steel, Yazan, Charlie Shuck"
2018-03-08,Thu,Raleigh,NC,Slims,"Bethlehem Steel, Yazan, Dessert King"
2018-03-07,Wed,Philadelphia,PA,Everybody Hits,"Bethlehem Steel, Yazan, Cult Objects"
2018-01-10,Wed,Queens,NY,Trans Pecos,"Human People, Water From Your Eyes, Beeyotch"
2017-12-10,Sun,Brooklyn,NY,Baby's All Right,"Bethlehem Steel, Crosslegged, Brett Davis & more"
2017-12-09,Sat,Philadelphia,PA,All Night Diner,"Bethlehem Steel, Spellbinder, Crooked Spine"
2017-12-08,Fri,Washington,DC,Slash Run,"Bethlehem Steel, Menage A Garage, Slip Disco"
2017-11-01,Wed,Manhattan,NY,MNN Studios,The Special Without Brett Davis Ep.112
2017-10-06,Fri,Brooklyn,NY,Silent Barn,"Ovlov, Lost Boy, Bueno, Bethlehem Steel"
2017-09-15,Fri,Brooklyn,NY,Sunnyvale,"Patio, Ubetcha, Maneka"
2017-08-13,Sun,Easthampton,MA,Disappearing Mountain,"Rick Rude, Ovlov, Bunny's A Swine, Head Cinema"
2017-08-12,Sat,Rollinsford,NH,Sue's,"Rick Rude, Ovlov, Greed Island"
2017-08-11,Fri,Jamaica Plain,MA,Deep Thoughts,"Rick Rude, Ovlov, Lina Tullgren"
2017-08-10,Thu,Brooklyn,NY,Silent Barn,"Rick Rude, Stove, Human People"
2017-07-28,Fri,Brooklyn,NY,Alphaville,"Grass Is Green, Lady Pills"
2017-05-07,Sun,Brooklyn,NY,Silent Barn,"Bad History Month, Anna McClellan, Thanks For Coming"
2017-04-27,Thu,Brooklyn,NY,Don Pedro,"Gobbinjr, Fits, Skydaddy"
2017-04-02,Sun,Brooklyn,NY,Silent Barn,"Tony Molina, Ovlov, Jackal Onasis"
2017-03-19,Sun,New Brunswick,NJ,The Twizzler Factory,"Glazer, Bilge Rat, Bunny Boy, My Heart and the Real World"
2017-03-18,Sat,Philadelphia,PA,Nico Nico Mansion,"Big Ups, Mannequin Pussy, Sun Organ"
2017-03-17,Fri,Worcester,MA,Distant Castle,"Kiss Concert, Big Mess, Matt Robideaux"
2017-03-16,Thu,Burlington,VT,Arts Riot,"Bethlehem Steel, Paper Castles"
2017-01-19,Thu,Brooklyn,NY,Shea Stadium,"Rick Rude, Kiss Concert, Tall Friend"
2017-01-05,Thu,Brooklyn,NY,Silent Barn,"Hiccup, Howardian, Teenage Halloween, Litte Waist"
2016-12-14,Wed,Brooklyn,NY,Silent Barn,"Fern Mayo, Hellrazor, Yucky Duster"
2016-12-01,Thu,Brooklyn,NY,The Gateway,"Pink Mexico, Bueno, Spit"
2016-11-05,Sat,Brooklyn,NY,Sunnyvale,"Geena Davis, Patio, She Said Yes"
2016-10-13,Thu,Brooklyn,NY,Shea Stadium,"Kal Marks, Jackal Onasis, Youth Expire, Laila"
2016-10-03,Mon,Brooklyn,NY,Baby's All Right,"Summer Cannibals, Sharkmuffin"
2016-09-22,Thu,Brooklyn,NY,Sunnyvale,"Joe Pera, Gavin Riley Smoke Machine, Dan Licata"
2016-09-12,Mon,Brooklyn,NY,Shea Stadium,"Fits, Gobbinjr, Long Neck"
2016-07-31,Sun,Brooklyn,NY,Shea Stadium,"Patio, Spit, Human People"
2016-07-13,Wed,Brooklyn,NY,Alphaville,"Melkbelly, Rips, Ubetcha"
2016-06-21,Tue,Brooklyn,NY,Shea Stadium,"Bethlehem Steel, Stringer, Jackal Onassis, Hank May"
2016-06-11,Sat,Brooklyn,NY,Shea Stadium,"Ovlov, Dust From 1000 Yrs, Two Inch Astronaut"
2016-05-21,Sat,Brooklyn,NY,Palisades,"Littler, Doubting Thomas Cruise Control, Crusher, Dan Licata - Pictionary"
2016-05-08,Sun,Boston,MA,The Middle East Upstairs,"Big Ups, Kal Marks, Strange Mangers, Cloud Cover"
2016-05-07,Sat,Winooski,VT,Waking Windows,"Big Ups, Kal Marks, Bad History Month, Dust From 1000 Yrs"
2016-05-06,Fri,Albany,NY,Treehouse,"Big Ups, Protomartyr, Jouska, Throat Culture"
2016-05-05,Thu,Brooklyn,NY,Shea Stadium,"Dirty Dishes, Big Ups, Ian Sweet (*as Ian)"
2016-04-25,Mon,Brooklyn,NY,Alphaville,"Greys, The Cradle, The Hot Flood"
2016-04-17,Sun,Brooklyn,NY,Rough Trade,"Bernie Sanders Benefit: Leapling, Shana Falana, Palberta, World Of Darkness"
2016-04-09,Sat,The Bronx,NY,Rodrigue's,Left & Right
2016-03-20,Sun,Oxford,MS,Cats Purring Dude Ranch,Big Ups
2016-03-18,Fri,Austin,TX,Hole In The Wall,EIS & Stereogum
2016-03-17,Thu,Austin,TX,Hole In The Wall,Fleeting Youth
2016-03-17,Thu,Austin,TX,Todd's Mansion,Post-Trash
2016-03-14,Mon,Houston,TX,Super Happy Fun Land,"Big Ups, Overlake, more"
2016-03-13,Sun,Denton,TX,35 Denton,"Big Ups, Sheer Mag, Otis The Destroyer"
2016-03-11,Fri,Savannah,GA,The Jinx,"Big Ups, No BS Brass Band, Wild Powwer - Savannah Stopover "
2016-03-10,Thu,Charlotte,NC,The Station,"Big Ups, Kang, Melt"
2016-03-09,Wed,Washington,DC,Comet Ping Pong,"Big Ups, Polyon"
2016-03-05,Sat,Brooklyn,NY,Shea Stadium,"Big Ups, Greys, LVL UP"
2016-02-24,Wed,Brooklyn,NY,Palisades,"Rose's Bday: Small Wonder, Bears, Kolb"
2016-02-04,Thu,Brooklyn,NY,Aviv,"White Rope, Glazer, Love Spread (The Special Showcase)"
2016-01-22,Fri,Brooklyn,NY,Palisades,"Stove, Lost Boy?, Yazan, Dan Licata"
2016-01-07,Thu,Brooklyn,NY,Shea Stadium,"Vundabar, Pinegrove, Horse Jumper of Love"
2015-11-17,Tue,Queens,NY,Trans Pecos,"Dead Tenants, Fern Mayo, The Gradients, Exposeur"
2015-11-07,Sat,Brooklyn,NY,Palisades,"Patio, Doubting Thomas Cruise Control, Spit"
2015-10-25,Sun,Brooklyn,NY,Silent Barn,"Freecare, Blessed State, Dead Tenants, Ides"
2015-10-17,Sat,Brooklyn,NY,Shea Stadium,"So So Glos, Big Ups - KEXP CMJ"
2015-10-16,Fri,Brooklyn,NY,Palisades,"Palehound, Big Ups, The Spirit of the Beehive, Greys, Palm, Stove, Washer, Kal Marks, Dirty Dishes, Swings, Flagland, Leapling, LVL UP"
2015-10-01,Thu,Brooklyn,NY,Shea Stadium,"Fern Mayo, Arm Candy, Peaer"
2015-09-15,Tue,Brooklyn,NY,Palisades,"Doubting Thomas Cruise Control, Wing Dam, Crown Jewel"
2015-09-01,Tue,Brooklyn,NY,Silent Barn,"Slight, Downies, Vagabon"
2015-08-23,Sun,Allston,MA,O'Brien's Pub,"Vundabar, Zula, Swings, Great Deceivers, Lady Bones"
