Date,Day,City,State,Venue,With,Link,
SEP 5,Tue,Philadelphia,PA,Johnny Brenda's,"Speedy Ortiz",<a href="https://www.etix.com/ticket/p/5870258/speedy-ortiz-philadelphia-johnny-brendas?clickref=1011lxH2QrnJ" target="_blank">tix</a>
SEP 6,Wed,Kingston,NY,Tubby's,"Speedy Ortiz",<a href="https://tubbyskingston.lyte.com/3707117" target="_blank">tix</a>
SEP 7,Thu,Hamden,CT,Space Ballroom,"Speedy Ortiz, Pile, Slant of Light",<a href="https://www.eventbrite.com/e/pile-tickets-569909744387" target="_blank">tix</a>
SEP 8,Fri,Somerville,MA,"ONCE at the Center For Arts at The Armory","Speedy Ortiz, Tiffy",<a href="https://link.dice.fm/h1f6681c6d59" target="_blank">tix</a>
SEP 10,Sun,Troy,NY,"No Fun","Speedy Ortiz",<a href="https://www.eventbrite.com/e/speedy-ortiz-more-bands-tba-tickets-668774551687?aff=erelexpmlt" target="_blank">tix</a>
SEP 11,Mon,Winooski,VT,"The Monkey House","Speedy Ortiz, Rebecca Ryskalczyk",<a href="https://link.dice.fm/kb5d118d4c46" target="_blank">tix</a>
SEP 28,Thu,Pittsburgh,PA,"The Government Center","The Zells, Patter, Rue",<a href="https://www.thegovernmentcenter.com/events/washer-the-zells-rue-patter" target="_blank">tix</a>
SEP 30,Sat,Cleveland,OH,"Mahall's Apartment","myheartyourglove, The Scoffs",<a href="https://link.dice.fm/F43b448e308d" target="_blank">tix</a>
OCT 1,Sun,Cincinnati,OH,"MOTR","Old City, Skunch",<a href="https://www.motrpub.com/shows/washer-nyc-w-old-city" target="_blank">free</a>
OCT 2,Mon,Chicago,IL,"Schubas","-",<a href="https://lh-st.com/shows/10-02-2023-washer/" target="_blank">tix</a>
OCT 4,Wed,Brooklyn,NY,"Alphaville","Maneka, Bueno",<a href="https://link.dice.fm/n4a75d9067e7" target="_blank">tix</a>
